name,material,size,style,image
Concave Thrice,,,pendant,ThriceC.jpg
Thrice,,,pendant,Thrice.jpg
V Pointed Star,,,pendant,FiveStar.jpg
Cassini,,,pendant,Cassini.jpg
Black Hole,,,pendant,BlackHole.jpg
Celtic Cross,,,pendant,CelticCross.jpg
Double Shell,,,pendant,DShell.jpg
Double Heart,,,pendant,DoubleHart.jpg
Sasso Earings,,,earring,Sasso.jpg
Nebulae Earings,,,earring,BladeEarings.jpg
Black Hole,,,pin ,PinBlackHole.jpg
V Pointed Star,,,pin,PinFiveStar.jpg
Sasso,,,pin,PinSasso.jpg
Double Shell Pin,,,pin,PinDShell.jpg
Star Bangle,,,bracelet,Bracelet.jpg
Black Hole Bracelet,,,bracelet,BlackHBrace.jpg
